Country Name,Country Code,Series Name,Series Code,1990 [YR1990],2000 [YR2000],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Chile,CHL,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1.88581611632009,3.72361873178446,1.11370445947465,0.52983351729867,-0.235110167425177,2.14988195463914,-0.962096016030856,-6.98113061984451,10.824550522267,1.64877813218645,-0.0196132258928543,2.09415451485827
China,CHN,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,2.42762639469862,7.73418016479314,6.35855026398104,6.16542718232793,6.24626618729064,6.25861232477357,5.6929006014863,2.09686667315867,8.47322717245602,3.14769982133814,5.52431494678926,5.10662482837367
Colombia,COL,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,2.14817587559615,1.25270223212341,2.06923227113727,1.08114925712198,-0.101221554133033,0.695264947238812,1.36014067984289,-8.50949477621059,9.5929782838861,6.18779953705864,-0.410230298426796,0.512522429942436
Comoros,COM,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,4.5640560053973,-2.88945143643761,-0.965303682858504,1.22276485365785,1.76756640070596,1.63835635175063,-0.178316983862871,-2.13464959719172,0.00413128531081952,0.633328895842794,1.03326243771184,1.40149842299931
"Congo, Dem. Rep.",COD,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-9.61748597659816,-9.84965913371938,2.90483865777841,-3.09891686152069,0.498126250776636,2.57995294310305,-2.58176822938702,-2.41880983949436,3.03871005349485,5.84381468903847,5.05273224713814,2.74070877266892
"Congo, Rep.",COG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-1.84268984995809,3.53179165255042,-1.98214587471384,-10.8700508595295,-7.86139425991523,-4.6581397485937,-1.27988440285151,-8.48578578986992,-1.37465389510481,-0.927744025174505,-0.528875412706213,0.148777085583603
Costa Rica,CRI,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,0.969665370569189,1.87355738973982,2.55664330007954,3.1560705780562,3.17871970343413,1.69193410358987,1.56255641347028,-4.93444227198336,7.38823226408623,4.10345495842361,4.6227538695518,3.82533390959907
Cote d'Ivoire,CIV,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-4.9093999603687,-2.98789209303686,4.14232947521536,4.10858359182184,4.42161228468103,2.05334874793748,3.96244737490909,-1.81621061689408,4.44709198559022,3.75602084648943,3.96403768538988,3.4679130572198
Croatia,HRV,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,..,3.96576608623806,3.54911571283303,4.59659233874163,4.95688757968964,4.26899051902303,4.12969919836404,-7.48668905832953,13.6550314478241,7.94395699321689,3.65290188342374,3.65195341396083
Cuba,CUB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-3.84822465768245,5.56315407850497,4.53753785531039,0.597183645134152,1.97075471516408,2.43656837458022,0.0532186639248664,-10.7383538682124,1.74778827156759,2.34839091134221,-1.5743835905819,-0.699961142159495
Curacao,CUW,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,..,..,-0.858779715385708,-2.1111613286577,-1.591163940253,-1.58863061888974,-2.04109605237927,-17.4108334756387,5.2218404810947,7.34318774336195,3.30385791508765,4.14273655709235
Cyprus,CYP,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,5.13997001219491,4.84416050602792,3.19512275980128,6.01835711404337,4.85340888107815,5.05105337795295,4.46826562163456,-4.51403585865228,9.74651161533515,6.27933971497492,1.63941638797075,2.29692759392108
Czechia,CZE,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,..,4.3027395227283,4.75262406436026,2.3840542545404,4.8945501951199,2.48698770067625,3.15874802851988,-5.53491969820153,5.93106968937249,1.24409473190281,-1.71985869478267,0.852606650391238
Denmark,DNK,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1.49524829012768,3.37790720232864,1.38566632188861,2.27180151789635,2.39559065097636,1.35619600199787,1.34779245340653,-2.06613837683189,6.03966577353796,-0.344058639271637,-0.138322294600371,2.95776259160623
Djibouti,DJI,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,..,..,5.45836831293627,5.33331529745931,3.73971530980459,3.10861540140996,3.91378440928256,-0.306867602824667,2.91169899255628,3.70080389886223,5.33919577490653,5.53622497099775
Dominica,DMA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,6.21436795036516,2.8764856526242,-3.42415928778391,2.6190351438682,-6.04609004192379,3.45033107598908,4.3983147374291,-15.323436855213,5.96160559948913,11.0179611001056,4.14467889969342,2.52288551933697
Dominican Republic,DOM,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-7.42253842418627,2.96955695961634,5.76452490966611,5.54040978660888,2.80931921775627,5.95314205477773,3.81572682273033,-8.88467221699831,12.8319080410071,4.2328919676722,1.28564825764879,4.06915239840208
Ecuador,ECU,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1.38509528648214,-0.648225387551591,-1.30274985042635,-2.12550882201938,4.36195467405905,-0.674558960176682,-1.51253154807527,-10.3108339169142,8.57789544186942,5.0282959697896,1.10230591349449,-2.84096326274179
"Egypt, Arab Rep.",EGY,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,2.61630325467065,4.09609057659976,2.20415858015615,2.24497375649698,2.12015477172733,3.35166753247044,3.71584088573542,1.88111975917718,1.76220484283698,5.01555864991792,2.02315842412948,0.639636335125445
El Salvador,SLV,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,2.87694943624557,0.626535379070958,2.05686593954016,2.25589267443243,2.0380895055328,2.30913946286621,2.39613321946494,-8.07562588564387,11.5271594106656,2.55237486650837,3.05826987824165,2.13954811058277
Equatorial Guinea,GNQ,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-5.37648309315803,12.1516339606444,-12.4917142663428,-12.0971098998986,-8.94053555047577,-9.37041905185943,-8.52391282041842,-7.35874657366674,-1.56652040015599,0.661786258781987,-7.34984419720533,-1.49035168546814
Eritrea,ERI,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,..,-4.61837133772084,..,..,..,..,..,..,..,..,..,..
